nct_id,Type,Value,Action
NCT03291977,Tag,Musella Foundation,Add
NCT03291990,Tag,Musella Foundation,Add
NCT03294486,Tag,Musella Foundation,Add
NCT03295396,Tag,Musella Foundation,Add
NCT03296696,Tag,Musella Foundation,Add
NCT03297125,Tag,Musella Foundation,Add
NCT03297788,Tag,Musella Foundation,Add
NCT03299309,Tag,Musella Foundation,Add
NCT03303365,Tag,Musella Foundation,Add
NCT03309319,Tag,Musella Foundation,Add
NCT03322813,Tag,Musella Foundation,Add
NCT03323450,Tag,Musella Foundation,Add
NCT03328858,Tag,Musella Foundation,Add
NCT03332355,Tag,Musella Foundation,Add
NCT03334305,Tag,Musella Foundation,Add
NCT03340506,Tag,Musella Foundation,Add
NCT03341806,Tag,Musella Foundation,Add
NCT03344250,Tag,Musella Foundation,Add
NCT03345095,Tag,Musella Foundation,Add
NCT03347097,Tag,Musella Foundation,Add
NCT03347617,Tag,Musella Foundation,Add
NCT03352427,Tag,Musella Foundation,Add
NCT03353896,Tag,Musella Foundation,Add
NCT03355794,Tag,Musella Foundation,Add
NCT03360708,Tag,Musella Foundation,Add
NCT03363217,Tag,Musella Foundation,Add
NCT03363659,Tag,Musella Foundation,Add
NCT03366376,Tag,Musella Foundation,Add
NCT03367715,Tag,Musella Foundation,Add
NCT03368625,Tag,Musella Foundation,Add
NCT03373487,Tag,Musella Foundation,Add
NCT03374943,Tag,Musella Foundation,Add
NCT03382977,Tag,Musella Foundation,Add
NCT03383978,Tag,Musella Foundation,Add
NCT03387020,Tag,Musella Foundation,Add
NCT03389230,Tag,Musella Foundation,Add
NCT03389802,Tag,Musella Foundation,Add
NCT03390569,Tag,Musella Foundation,Add
NCT03391362,Tag,Musella Foundation,Add
NCT03392545,Tag,Musella Foundation,Add
NCT03395587,Tag,Musella Foundation,Add
NCT03396575,Tag,Musella Foundation,Add
NCT03398694,Tag,Musella Foundation,Add
NCT03400917,Tag,Musella Foundation,Add
NCT03402425,Tag,Musella Foundation,Add
NCT03403361,Tag,Musella Foundation,Add
NCT03404414,Tag,Musella Foundation,Add
NCT03405792,Tag,Musella Foundation,Add
NCT03411408,Tag,Musella Foundation,Add
NCT03412812,Tag,Musella Foundation,Add
NCT03412877,Tag,Musella Foundation,Add
NCT03414944,Tag,Musella Foundation,Add
NCT03416530,Tag,Musella Foundation,Add
NCT03422094,Tag,Musella Foundation,Add
NCT03423628,Tag,Musella Foundation,Add
