nct_id,Type,Value,Action
NCT01502605,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01508104,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01512147,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01516905,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01517776,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01518413,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01520870,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01522820,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01525459,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01526837,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01528046,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01528670,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01535183,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01535430,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01535898,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01535911,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01538095,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01540175,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01540513,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01543542,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01553149,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01562197,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01564914,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01567202,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01574092,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01577966,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01579253,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01580969,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01582152,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01582516,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01586078,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01587144,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01598454,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01598597,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01601184,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01601314,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01604590,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01613417,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01618747,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01621295,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01621542,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01622868,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01635283,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01638130,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01642342,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01644955,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01648348,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01654497,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01657734,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01657799,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01661400,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01663012,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01666600,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01670890,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01672463,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01678352,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01689402,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01698437,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01707836,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01708174,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01716468,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01721577,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01724606,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01729260,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01730950,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
