nct_id,Type,Value,Action
NCT01792310,Tag,Musella Foundation,Remove
NCT01564914,Tag,Musella Foundation,Remove
NCT01806155,Tag,Musella Foundation,Remove
NCT03076255,Tag,Musella Foundation,Remove
NCT02574728,Tag,Musella Foundation,Remove
NCT01804634,Tag,Musella Foundation,Remove
NCT01988675,Tag,Musella Foundation,Remove
NCT01810744,Tag,Musella Foundation,Remove
NCT02584413,Tag,Musella Foundation,Remove
NCT02581839,Tag,Musella Foundation,Remove
NCT02596828,Tag,Musella Foundation,Remove
NCT03126266,Tag,Musella Foundation,Remove
NCT02600065,Tag,Musella Foundation,Remove
NCT01884922,Tag,Musella Foundation,Remove
NCT01419834,Tag,Musella Foundation,Remove
NCT00859222,Tag,Musella Foundation,Remove
NCT01856933,Tag,Musella Foundation,Remove
NCT00870129,Tag,Musella Foundation,Remove
NCT01929720,Tag,Musella Foundation,Remove
NCT01164189,Tag,Musella Foundation,Remove
NCT02367469,Tag,Musella Foundation,Remove
NCT01907165,Tag,Musella Foundation,Remove
NCT00867178,Tag,Musella Foundation,Remove
NCT00879437,Tag,Musella Foundation,Remove
NCT02391493,Tag,Musella Foundation,Remove
NCT02069080,Tag,Musella Foundation,Remove
NCT02060955,Tag,Musella Foundation,Remove
NCT02893137,Tag,Musella Foundation,Remove
NCT01952769,Tag,Musella Foundation,Remove
NCT01756352,Tag,Musella Foundation,Remove
NCT02722928,Tag,Musella Foundation,Remove
NCT01273090,Tag,Musella Foundation,Remove
NCT03390569,Tag,Musella Foundation,Remove
NCT01239316,Tag,Musella Foundation,Remove
NCT01734512,Tag,Musella Foundation,Remove
NCT02070380,Tag,Musella Foundation,Remove
NCT00813787,Tag,Musella Foundation,Remove
NCT02078648,Tag,Musella Foundation,Remove
NCT02077504,Tag,Musella Foundation,Remove
NCT00968240,Tag,Musella Foundation,Remove
NCT01433991,Tag,Musella Foundation,Remove
NCT02035852,Tag,Musella Foundation,Remove
NCT02037945,Tag,Musella Foundation,Remove
NCT02928575,Tag,Musella Foundation,Remove
NCT02028325,Tag,Musella Foundation,Remove
NCT01801813,Tag,Musella Foundation,Remove
NCT00898079,Tag,Musella Foundation,Remove
NCT01024907,Tag,Musella Foundation,Remove
NCT02796729,Tag,Musella Foundation,Remove
NCT00983398,Tag,Musella Foundation,Remove
NCT02058745,Tag,Musella Foundation,Remove
NCT02060890,Tag,Musella Foundation,Remove
NCT01737671,Tag,Musella Foundation,Remove
NCT02941302,Tag,Musella Foundation,Remove
NCT01165333,Tag,Musella Foundation,Remove
NCT02953756,Tag,Musella Foundation,Remove
NCT01620138,Tag,Musella Foundation,Remove
NCT02095132,Tag,Musella Foundation,Remove
NCT02133183,Tag,Musella Foundation,Remove
NCT02168270,Tag,Musella Foundation,Remove
NCT03002532,Tag,Musella Foundation,Remove
NCT02971319,Tag,Musella Foundation,Remove
NCT01303497,Tag,Musella Foundation,Remove
NCT01752491,Tag,Musella Foundation,Remove
NCT01305941,Tag,Musella Foundation,Remove
