nct_id,Type,Value,Action
NCT03423056,Tag,StoCAN,Add
NCT03425773,Tag,StoCAN,Add
NCT03426722,Tag,StoCAN,Add
NCT03427346,Tag,StoCAN,Add
NCT03427684,Tag,StoCAN,Add
NCT03427814,Tag,StoCAN,Add
NCT03429816,Tag,StoCAN,Add
NCT03430440,Tag,StoCAN,Add
NCT03445260,Tag,StoCAN,Add
NCT03448835,Tag,StoCAN,Add
NCT03449030,Tag,StoCAN,Add
NCT03449966,Tag,StoCAN,Add
NCT03453164,Tag,StoCAN,Add
NCT03457844,Tag,StoCAN,Add
NCT03465722,Tag,StoCAN,Add
NCT03468712,Tag,StoCAN,Add
NCT03471273,Tag,StoCAN,Add
NCT03471468,Tag,StoCAN,Add
NCT03472365,Tag,StoCAN,Add
NCT03475615,Tag,StoCAN,Add
NCT03475953,Tag,StoCAN,Add
NCT03480256,Tag,StoCAN,Add
NCT03482791,Tag,StoCAN,Add
NCT03484949,Tag,StoCAN,Add
NCT03488667,Tag,StoCAN,Add
NCT03493152,Tag,StoCAN,Add
NCT03502317,Tag,StoCAN,Add
NCT03505320,Tag,StoCAN,Add
NCT03507998,Tag,StoCAN,Add
NCT03515941,Tag,StoCAN,Add
NCT03524300,Tag,StoCAN,Add
NCT03529669,Tag,StoCAN,Add
NCT03531320,Tag,StoCAN,Add
NCT03535207,Tag,StoCAN,Add
NCT03535727,Tag,StoCAN,Add
NCT03544736,Tag,StoCAN,Add
NCT03544905,Tag,StoCAN,Add
NCT03549494,Tag,StoCAN,Add
NCT03554395,Tag,StoCAN,Add
NCT03556345,Tag,StoCAN,Add
NCT03556384,Tag,StoCAN,Add
NCT03558724,Tag,StoCAN,Add
NCT03559543,Tag,StoCAN,Add
NCT03563326,Tag,StoCAN,Add
NCT03564834,Tag,StoCAN,Add
NCT03570996,Tag,StoCAN,Add
NCT03575637,Tag,StoCAN,Add
NCT03576872,Tag,StoCAN,Add
NCT03578224,Tag,StoCAN,Add
NCT03579004,Tag,StoCAN,Add
NCT03579784,Tag,StoCAN,Add
NCT03585530,Tag,StoCAN,Add
NCT03588533,Tag,StoCAN,Add
NCT03594422,Tag,StoCAN,Add
NCT03597581,Tag,StoCAN,Add
NCT03598348,Tag,StoCAN,Add
NCT03601234,Tag,StoCAN,Add
NCT03601988,Tag,StoCAN,Add
NCT03602079,Tag,StoCAN,Add
NCT03602677,Tag,StoCAN,Add
NCT03604614,Tag,StoCAN,Add
NCT03604991,Tag,StoCAN,Add
NCT03606928,Tag,StoCAN,Add
NCT03607656,Tag,StoCAN,Add
NCT03609424,Tag,StoCAN,Add
NCT03611309,Tag,StoCAN,Add
NCT03611712,Tag,StoCAN,Add
NCT03615326,Tag,StoCAN,Add
NCT03618758,Tag,StoCAN,Add
NCT03619681,Tag,StoCAN,Add
NCT03620643,Tag,StoCAN,Add
NCT03624725,Tag,StoCAN,Add
NCT03627728,Tag,StoCAN,Add
NCT03628079,Tag,StoCAN,Add
NCT03638206,Tag,StoCAN,Add
NCT03646110,Tag,StoCAN,Add
NCT03648879,Tag,StoCAN,Add
NCT03650348,Tag,StoCAN,Add
NCT03652077,Tag,StoCAN,Add
NCT03653052,Tag,StoCAN,Add
NCT03654534,Tag,StoCAN,Add
NCT03657914,Tag,StoCAN,Add
NCT03661671,Tag,StoCAN,Add
NCT03662659,Tag,StoCAN,Add
NCT03665714,Tag,StoCAN,Add
